0,4026,-45,538
0.1,4028,-39,544
0.2,4025,-36,527
0.3,4025,-36,527
0.4,4025,-29,539
0.5,4036,-40,551
0.6,4042,-31,529
0.7,4039,-54,531
0.8,4039,-45,528
0.9,4027,-38,516
1,4028,-42,536
1.1,4038,-27,532
1.2,4052,-49,534
1.3,4029,-27,532
1.4,4037,-46,520
1.5,4036,-38,529
1.6,4044,-32,537
1.7,4035,-40,529
1.8,4026,-36,527
1.9,3773,27,1010
2,3054,-4365,7885
2.1,4968,-3106,6630
2.2,4295,2125,-5102
2.3,3316,1212,-5725
2.4,3360,1121,-5698
2.5,3490,-2682,-1514
2.6,1870,-1799,-605
2.7,1870,-1799,-605
2.8,1804,-683,3028
2.9,2751,71,616
3,5121,198,457
3.1,5142,126,449
3.2,4128,14,807
3.3,3669,-90,1203
3.4,3667,-60,1468
3.5,3655,-89,1465
3.6,4079,-59,1074
3.7,3973,-49,1159
3.8,3977,-69,1172
3.9,3811,-54,1360
4,3899,-65,1260
4.1,3922,-72,1212
4.2,3921,-67,1236
4.3,3860,-55,1297
4.4,3861,-59,1281
4.5,3909,-61,1257
4.6,3886,-72,1252
4.7,3900,-74,1255
4.8,3880,-48,1299
4.9,3976,-240,1575
5,3943,-45,1274
5.1,3927,-29,1296
5.2,3842,-80,1399
5.3,3857,-72,1357
5.4,3847,-57,1376
5.5,3851,-67,1376
5.6,3860,-71,1379
5.7,3841,-73,1369
5.8,3873,-66,1383
5.9,3851,-66,1361
6,3864,-65,1383
6.1,3844,-64,1383
6.2,3862,-75,1370
6.3,3873,-74,1383
6.4,3876,-64,1375
6.5,3880,-82,1377
6.6,3880,-82,1377
6.7,4095,-287,1918
6.8,3464,-1031,1801
6.9,3587,-1849,1294
7,3608,-1891,1271
7.1,3301,-2196,741
7.2,2595,-2553,723
7.3,2651,-2583,806
7.4,2549,-2633,782
7.5,2403,-3005,982
7.6,2437,-2896,916
7.7,2433,-2825,1027
7.8,2825,-2958,1045
7.9,2195,-3003,914
8,2278,-3470,927
8.1,2125,-3177,866
8.2,2180,-2957,1048
8.3,2508,-2595,1273
8.4,2675,-2612,1281
8.5,3170,-2489,1211
8.6,3180,-2361,1283
8.7,3578,-1360,1335
8.8,3578,-1187,1439
8.9,3945,-939,1517
9,3947,-785,1597
9.1,3888,-85,2615
9.2,2964,-130,1631
9.3,3010,-142,1648
9.4,3967,-70,1219
9.5,4137,-38,1362
9.6,4137,-38,1362
9.7,3857,-75,1461
9.8,3734,-62,1432
9.9,3838,-62,1417
10,3813,-65,1406
10.1,3817,-56,1443
10.2,3832,-70,1477
10.3,3811,-69,1481
10.4,3894,-68,1410
10.5,3840,-73,1474
10.6,3835,-64,1475
10.7,3854,-74,1442
10.8,3834,-67,1466
10.9,3839,-69,1455
11,3834,-64,1457
11.1,3826,-81,1455
11.2,3823,-62,1463
11.3,3828,-60,1466
11.4,3824,-67,1468
11.5,3830,-79,1470
11.6,3814,-70,1462
11.7,3826,-68,1463
11.8,3835,-75,1482
11.9,4323,-109,1351
12,4323,-109,1351
12.1,5097,-3082,9074
12.2,3779,-1733,1422
12.3,-3303,2629,-2350
12.4,-3761,3152,-2317
12.5,-906,2797,-1040
12.6,2648,-1221,2592
12.7,6082,-2121,4178
12.8,6092,-2255,4433
12.9,4662,11,1998
13,2466,135,731
13.1,2623,44,950
13.2,3517,-160,1788
13.3,4007,29,1645
13.4,3621,-126,1183
13.5,3598,-135,1181
13.6,3776,-74,1598
13.7,3868,-88,1543
13.8,3868,-88,1543
13.9,3778,-61,1478
14,3769,-94,1478
14.1,3817,-89,1468
14.2,3818,-82,1470
14.3,3831,-83,1464
14.4,3837,-88,1424
14.5,3855,-82,1438
14.6,3853,-82,1419
14.7,3848,-71,1411
14.8,3866,-77,1414
14.9,3844,-77,1411
15,3836,-72,1396
15.1,3831,-74,1419
15.2,3835,-79,1429
15.3,3878,-75,1411
15.4,3848,-89,1423
15.5,3861,-79,1402
15.6,3859,-93,1397
15.7,3848,-87,1395
15.8,3851,-79,1405
15.9,3855,-78,1406
16,3843,-72,1410
16.1,3840,-86,1416
16.2,3840,-86,1416
16.3,3845,-81,1404
16.4,3839,-73,1416
16.5,3845,-88,1419
16.6,3850,-86,1409
16.7,3857,-74,1425
16.8,3833,-86,1418
16.9,3898,-93,1402
17,3904,-84,1409
17.1,7657,-3890,9982
17.2,2532,-3944,1953
17.3,2228,-2929,853
17.4,4541,2299,-6386
17.5,2973,-194,-3691
17.6,2850,-666,-3333
17.7,6108,-3619,1559
17.8,1825,-215,2597
17.9,1760,-607,2822
18,4046,-195,4767
18.1,3480,-234,1331
18.2,3480,-234,1331
18.3,3833,-217,1754
18.4,3816,-136,2317
18.5,3355,-193,1951
18.6,3324,-209,1975
18.7,3492,-139,2005
18.8,4028,-130,1605
18.9,3663,-134,1867
19,3650,-129,1866
19.1,3641,-129,1806
19.2,3771,-116,1728
19.3,3716,-120,1781
19.4,3710,-127,1767
19.5,3688,-116,1771
19.6,3720,-124,1753
19.7,3722,-111,1752
19.8,3720,-132,1767
19.9,3717,-115,1764
20,3726,-129,1749
20.1,3725,-128,1761
20.2,3692,-110,1760
20.3,3719,-120,1757
20.4,3714,-114,1729
20.5,3721,-110,1747
20.6,3703,-122,1749
20.7,3728,-122,1754
20.8,3726,-113,1756
20.9,3717,-103,1763
21,3700,-110,1762
21.1,3717,-124,1767
21.2,3717,-123,1758
21.3,3705,-115,1761
21.4,3706,-136,1759
21.5,3706,-136,1759
21.6,3715,-116,1760
21.7,3702,-118,1753
21.8,3723,-126,1755
21.9,3723,-119,1765
22,3719,-118,1755
